Ticker,Name,Sector,Industry,Price,P_Target,Prob_Up %,Analyst_recomm,Buy_percent,Sell_percent,Analysts_number
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,18.07,22.9,26.73,buy,35.71,0.0,14
OCUL,"Ocular Therapeutix, Inc.",Healthcare,Biotechnology,4.87,13.0,166.94,buy,71.43,0.0,7
MDIA3.SA,M.DIASBRANCOON      NM,Consumer Defensive,Packaged Foods,41.76,42.33,1.36,hold,50.0,10.0,10
ORMP,Oramed Pharmaceuticals Inc.,Healthcare,Biotechnology,3.25,3.15,-3.08,hold,100.0,0.0,2
8194.T,LIFE CORPORATION,Consumer Defensive,Grocery Stores,3030.0,3166.7,4.51,buy,0.0,0.0,1
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,3.34,5.51,64.97,buy,55.56,0.0,9
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,65.79,78.85,19.85,buy,58.33,0.0,12
BEN.PA,BENETEAU,Consumer Cyclical,Recreational Vehicles,15.08,21.9,45.23,strong_buy,66.67,0.0,6
EWCZ,"European Wax Center, Inc.",Consumer Defensive,Household & Personal Products,18.0,21.38,18.78,buy,55.56,0.0,9
GIL.DE,DMG MORI AG O.N.,Industrials,Tools & Accessories,42.5,37.35,-12.12,underperform,0.0,100.0,2
HHC,Howard Hughes Corporation (The),Real Estate,Real Estate—Diversified,75.25,106.25,41.2,buy,83.33,0.0,6
7593.T,VT HOLDINGS CO LTD,Consumer Cyclical,Auto & Truck Dealerships,536.0,730.0,36.19,buy,0.0,0.0,1
VVI,Viad Corp,Industrials,Specialty Business Services,23.48,36.5,55.45,buy,50.0,0.0,2
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,110.01,130.4,18.53,buy,35.48,16.13,31
ON,ON Semiconductor Corporation,Technology,Semiconductors,87.52,96.42,10.17,buy,66.67,4.76,21
ELISA.HE,Elisa Corporation,Communication Services,Telecom Services,49.07,52.9,7.81,hold,9.09,36.36,22
6996.T,NICHICON CORP,Technology,Electronic Components,1475.0,1666.7,13.0,buy,0.0,0.0,4
9037.T,HAMAKYOREX CO LTD,Industrials,Integrated Freight & Logistics,3765.0,3200.0,-15.01,none,0.0,0.0,1
