date,PE_ratio,index_name,index_type
1995-01-01,15.8136,FTSE Global All Cap Index,region
1995-02-01,15.5711,FTSE Global All Cap Index,region
1995-03-01,15.1152,FTSE Global All Cap Index,region
1995-04-01,14.2792,FTSE Global All Cap Index,region
1995-05-01,14.4172,FTSE Global All Cap Index,region
1995-06-01,14.816,FTSE Global All Cap Index,region
1995-07-01,15.3652,FTSE Global All Cap Index,region
1995-08-01,15.6203,FTSE Global All Cap Index,region
1995-09-01,15.6203,FTSE Global All Cap Index,region
1995-10-01,15.685,FTSE Global All Cap Index,region
1995-11-01,15.685,FTSE Global All Cap Index,region
1995-12-01,15.8651,FTSE Global All Cap Index,region
1996-01-01,16.1478,FTSE Global All Cap Index,region
1996-02-01,16.3606,FTSE Global All Cap Index,region
1996-03-01,16.5835,FTSE Global All Cap Index,region
1996-04-01,15.5444,FTSE Global All Cap Index,region
1996-05-01,15.0467,FTSE Global All Cap Index,region
1996-06-01,15.4594,FTSE Global All Cap Index,region
1996-07-01,16.5913,FTSE Global All Cap Index,region
1996-08-01,16.3232,FTSE Global All Cap Index,region
1996-09-01,16.5553,FTSE Global All Cap Index,region
1996-10-01,16.7698,FTSE Global All Cap Index,region
1996-11-01,17.0183,FTSE Global All Cap Index,region
1996-12-01,17.0183,FTSE Global All Cap Index,region
1997-01-01,17.3202,FTSE Global All Cap Index,region
1997-02-01,17.5334,FTSE Global All Cap Index,region
1997-03-01,17.7493,FTSE Global All Cap Index,region
1997-04-01,16.8565,FTSE Global All Cap Index,region
1997-05-01,17.7417,FTSE Global All Cap Index,region
1997-06-01,18.7625,FTSE Global All Cap Index,region
1997-07-01,19.3719,FTSE Global All Cap Index,region
1997-08-01,19.6177,FTSE Global All Cap Index,region
1997-09-01,19.5988,FTSE Global All Cap Index,region
1997-10-01,19.1114,FTSE Global All Cap Index,region
1997-11-01,19.0376,FTSE Global All Cap Index,region
1997-12-01,18.1471,FTSE Global All Cap Index,region
1998-01-01,18.1471,FTSE Global All Cap Index,region
1998-02-01,19.1446,FTSE Global All Cap Index,region
1998-03-01,20.4978,FTSE Global All Cap Index,region
1998-04-01,20.4978,FTSE Global All Cap Index,region
1998-05-01,21.2867,FTSE Global All Cap Index,region
1998-06-01,20.5024,FTSE Global All Cap Index,region
1998-07-01,21.2881,FTSE Global All Cap Index,region
1998-08-01,20.2467,FTSE Global All Cap Index,region
1998-09-01,19.5653,FTSE Global All Cap Index,region
1998-10-01,18.5757,FTSE Global All Cap Index,region
1998-11-01,20.2063,FTSE Global All Cap Index,region
1998-12-01,21.1955,FTSE Global All Cap Index,region
1999-01-01,21.9679,FTSE Global All Cap Index,region
1999-02-01,22.4669,FTSE Global All Cap Index,region
1999-03-01,22.9468,FTSE Global All Cap Index,region
1999-04-01,23.2146,FTSE Global All Cap Index,region
1999-05-01,23.8076,FTSE Global All Cap Index,region
1999-06-01,23.3437,FTSE Global All Cap Index,region
1999-07-01,23.8163,FTSE Global All Cap Index,region
1999-08-01,22.9606,FTSE Global All Cap Index,region
1999-09-01,22.814,FTSE Global All Cap Index,region
1999-10-01,22.814,FTSE Global All Cap Index,region
1999-11-01,22.814,FTSE Global All Cap Index,region
1999-12-01,23.8868,FTSE Global All Cap Index,region
2000-01-01,24.3673,FTSE Global All Cap Index,region
2000-02-01,24.1547,FTSE Global All Cap Index,region
2000-03-01,23.8111,FTSE Global All Cap Index,region
2000-04-01,23.4357,FTSE Global All Cap Index,region
2000-05-01,22.936,FTSE Global All Cap Index,region
2000-06-01,23.2652,FTSE Global All Cap Index,region
2000-07-01,23.2652,FTSE Global All Cap Index,region
2000-08-01,22.7204,FTSE Global All Cap Index,region
2000-09-01,22.4565,FTSE Global All Cap Index,region
2000-10-01,21.3373,FTSE Global All Cap Index,region
2000-11-01,20.7226,FTSE Global All Cap Index,region
2000-12-01,20.7226,FTSE Global All Cap Index,region
2001-01-01,20.7046,FTSE Global All Cap Index,region
2001-02-01,20.4492,FTSE Global All Cap Index,region
2001-03-01,19.7651,FTSE Global All Cap Index,region
2001-04-01,18.6269,FTSE Global All Cap Index,region
2001-05-01,19.6104,FTSE Global All Cap Index,region
2001-06-01,20.3173,FTSE Global All Cap Index,region
2001-07-01,19.5284,FTSE Global All Cap Index,region
2001-08-01,19.3399,FTSE Global All Cap Index,region
2001-09-01,18.2504,FTSE Global All Cap Index,region
2001-10-01,16.6235,FTSE Global All Cap Index,region
2001-11-01,19.8347,FTSE Global All Cap Index,region
2001-12-01,20.4726,FTSE Global All Cap Index,region
2002-01-01,20.9213,FTSE Global All Cap Index,region
2002-02-01,20.3967,FTSE Global All Cap Index,region
