Ticker,Name,Sector,Industry,Price,Div_Yield,PE,Ind_PE,PEG,Ind_PEG,PB,Ind_PB,EV_EBITDA,Ind_EV_EBITDA,EV_Sales,Ind_EV_Sales,Debt_EBITDA,Ind_Debt_EBITDA,Beta,Short_Perc_Float
MGEE,MGE Energy Inc.,Utilities,Utilities—Regulated Electric,79.29,2.08,22.09,16.83,4.3,1.98,2.61,1.91,15.59,12.76,5.07,4.19,3.2,5.63,0.74,1.8
G,Genpact Limited,Technology,Information Technology Services,38.65,1.4,11.71,14.98,1.44,2.2,3.67,5.12,12.06,12.69,1.91,2.17,2.45,2.8,1.2,2.0
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,63.03,1.33,13.61,10.33,-1.47,3.56,1.9,3.48,6.46,8.29,0.63,0.58,2.07,4.24,0.95,4.05
AUDC,AudioCodes Ltd.,Technology,Communication Equipment,10.35,3.53,10.78,12.3,3.72,3.5,1.76,22.97,11.25,-2.99,1.07,2.0,0.42,-0.29,0.57,0.62
SUI,"Sun Communities, Inc.",Real Estate,REIT—Residential,134.87,2.76,46.51,66.32,19.07,12.09,2.18,2.7,20.59,20.78,8.04,10.99,6.44,6.27,0.72,1.38
ORI,Old Republic International Corp,Financial Services,Insurance—Diversified,26.09,3.76,10.11,7.4,1.06,0.66,1.2,2.12,10.07,6.5,1.08,1.04,1.94,1.76,0.83,1.81
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,13.23,3.23,12.14,11.25,0.94,-0.89,1.61,4.09,7.44,9.37,0.73,1.06,2.71,3.3,1.53,13.16
NATI,National Instruments Corporatio,Technology,Software—Application,56.28,1.99,19.47,20.59,3.81,17.8,6.2,5.7,23.5,20.89,4.58,5.68,1.71,2.75,1.17,2.83
SCHN,"Schnitzer Steel Industries, Inc",Basic Materials,Steel,32.1,2.48,20.06,13.94,4.12,0.19,0.94,1.55,12.58,5.95,0.43,0.71,4.54,1.56,1.54,2.25
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Resorts & Casinos,73.6,1.63,15.21,15.49,1.1,2.52,3.04,8.96,8.79,11.25,2.96,3.02,0.4,5.26,1.68,1.43
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,243.88,0.44,23.63,19.18,9.12,-40.81,3.57,3.54,18.46,16.11,6.3,4.42,1.98,2.69,0.8,0.6
MDC,"M.D.C. Holdings, Inc.",Consumer Cyclical,Residential Construction,49.01,4.12,12.53,10.33,1.07,2.53,1.14,2.23,4.53,6.25,0.68,1.08,1.99,1.42,1.41,4.56
DK,"Delek US Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,24.4,3.83,17.81,13.72,75.3,13.0,1.63,4.72,4.98,6.76,0.2,0.71,4.01,2.84,1.45,13.1
VSH,"Vishay Intertechnology, Inc.",Technology,Semiconductors,29.41,1.36,11.72,15.76,-0.96,-0.32,1.92,9.08,4.77,28.89,1.08,8.82,0.88,1.66,1.31,6.33
KBAL,"Kimball International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",12.3,2.93,9.53,10.34,0.85,1.11,2.49,22.36,9.64,9.35,0.71,0.88,1.39,4.04,1.11,1.79
JWN,"Nordstrom, Inc.",Consumer Cyclical,Department Stores,20.7,3.7,10.15,8.53,0.77,-0.32,6.06,2.76,6.51,6.22,0.48,0.54,4.04,3.7,2.31,15.95
AVD,American Vanguard Corporation,Basic Materials,Agricultural Inputs,17.74,0.68,13.65,12.72,-16.77,-1.02,1.39,5.11,11.42,7.99,1.07,1.66,2.23,2.27,0.95,0.83
WWE,"World Wrestling Entertainment, ",Communication Services,Entertainment,105.9,0.45,32.99,18.19,2.31,3.43,13.44,11.61,24.94,11.84,6.41,2.45,1.95,4.23,1.16,37.07
PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,30.61,0.78,10.74,18.24,1.31,4.2,1.47,3.78,9.47,15.1,0.58,1.32,4.4,2.45,1.27,1.35
AAPL,Apple Inc.,Technology,Consumer Electronics,195.1,0.5,29.65,29.65,4.07,4.07,49.35,49.35,25.05,25.05,8.05,8.05,0.89,0.89,1.29,0.75
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,150.29,2.52,23.56,21.16,4.73,3.8,7.99,595.61,17.98,19.15,4.71,2.73,1.72,5.2,0.41,0.56
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,123.1,1.4,39.08,21.06,4.57,2.27,5.06,4.7,24.68,16.59,3.61,2.4,3.63,3.98,1.38,5.72
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers—General,232.05,3.66,12.35,14.76,24.26,4.72,23.18,12.54,11.76,14.98,5.89,5.88,4.69,2.1,0.63,1.3
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,172.76,1.2,32.41,14.98,4.74,2.2,8.18,5.12,23.94,12.69,6.4,2.17,0.77,2.8,0.65,5.22
MTRN,Materion Corporation,Basic Materials,Other Industrial Metals & Mining,116.27,0.43,17.92,21.71,1.79,-0.23,2.92,3.0,13.74,12.28,1.71,1.68,2.33,3.36,1.08,1.72
SITC,SITE Centers Corp.,Real Estate,REIT—Retail,14.43,3.71,84.88,37.98,-14.73,-8.65,1.62,2.46,13.39,18.33,8.4,11.66,4.9,7.04,1.58,5.22
GBX,"Greenbrier Companies, Inc. (The",Industrials,Railroads,44.96,2.74,12.7,16.99,2.07,2.41,1.13,3.92,9.63,13.97,0.76,5.0,5.53,4.62,1.63,6.01
APH,Amphenol Corporation,Technology,Electronic Components,85.13,0.99,26.6,16.85,4.54,1.71,6.93,3.21,17.77,11.76,4.23,2.6,1.52,1.7,1.25,1.02
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,126.53,0.23,21.74,19.18,-9.1,-40.81,1.98,3.54,16.18,16.11,5.77,4.42,4.18,2.69,1.09,3.46
